
"login or email:";"ログイン名またはメールアドレス:"
"password:";"パスワード:"
"keep me signed in";"サインインしたままにする"
"forgot your password?";"パソワードを忘れた場合？"
"login";"ログイン"
"register";"登録"
"teaching member";"講師メンバー"
"learning member";"受講生メンバー"
"first name:";"名"
"last name:";姓"
"gender:";"性別"
"male";"男"
"female";"女"
"login:";"ログイン名"
"email address:";"メールアドレス"
"password:";"パスワード"
"confirm password:";"パスワードの確認"
"sign up";"オンラインサインアップ"
"email:";"メールアドレス"
"time zone:";"タイムゾーン"
"dob:";"生年月日"
"language:";"言語"
"mandatory information";"基本情報"
"introduce yourself";"自己紹介"
"save";"保存"
"delete";"削除"
"upload";"アップロード"
"edit";"編集"
"i am available";"(スケジュール）受講可能な時間は"
"Monday";"月曜日"
"Tuesday";"火曜日"
"Wednesday";"水曜日"
"Thursday";"木曜日"
"Friday";"金曜日"
"Saturday";"土曜日"
"Sunday";"日曜日"
"Block / Delete";"ブロック/削除"
"general";"一般情報"
"service details";"サービス詳細"
"availability";"MYスケジュール設定"
"notifications/account settings";"通知/アカウント設定"
"users";"他のユーザ"
"my metrics";"MYメトリックス"
"delete user";"ユーザの削除"
"yes";"はい"
"no";"いいえ"
"By deleting user, he will be erased from your user list permanently. Are you sure you want to proceed?";"このユーザは、あなたのアカウントから完全に削除されます。本当に削除してもよろしいですか？"
"objective";"講師としての目標"
"experience";"レジュメ"
"education";"学歴"
"skills";"スキル"
"describe objective";"教師としての目標"
"add experience";"レジュメを追加する"
"add education";"学歴を追加する"
"add skill";"スキルを追加する"
"preview in pdf";"ｐｄｆでプレビュー"
"preview online";"ウェブでプレビュー"
"download pdf";"ｐｄｆダウンロード"
"";""
"my profile";"プロフィール"
"my resume";"レジュメ"
"my inbox";"受信箱"
"accounts/payments";"アカウント/支払い"
"customer reviews";"カスタマーレビュー"
"latest featured";"最新のトピック"
"my lessons";"マイレッスン"
"inbox";"受信箱"
"sent";"送信済み"
"archived";"保存フォルダー"
"trash";"ゴミ箱"
"create new";"新しく作成"
"move to trash";"ゴミ箱へ"
"move to archived";"保存フォルダーへ移動"
"create new message";"新しく作成"
"to";"宛先"
"subject";"件名"
"text";"本文"
"scheduled";"レッスン予定"
"on the air";"公開中レッスン"
"lesson details";"レッスン詳細"
"display";"表示"
