
"login or email:";"用户名/邮箱:"
"password:";"密码:"
"keep me signed in";"下次自动登陆"
"forgot your password?";"忘记密码？"
"login";"登陆"
"register";"注册"
"teaching member";"教师注册"
"learning member";"学员注册"
"first name:";"名:"
"last name:";姓:"
"gender:";"性别:"
"male";"男"
"female";"女"
"login:";"用户名:"
"email address:";"邮箱:"
"password:";"密码"
"confirm password:";"确认密码:"
"sign up";"注册"
"email:";"邮箱:"
"time zone:";"时区:"
"Date of Birth:";"生日:"
"language:";"语言:"
"introduce yourself";"介绍自己"
"save";"保存"
"delete";"删除"
"upload";"上传"
"edit";"编辑"
"i am available";"我的可支配时间"
"Monday";"星期一"
"Tuesday";"星期二"
"Wednesday";"星期三"
"Thursday";"星期四"
"Friday";"星期五"
"Saturday";"星期六"
"Sunday";"星期日"
"Block / Delete";"阻止/删除"
"general";"基本信息"
"availability";"可支配时间"
"notifications/account settings";"通知/账户设置"
"users";"用户"
"my metrics";"我的学习情况"
"delete user";"删除用户"
"yes";"是"
"no";"否"
"By deleting user, he will be erased from your user list permanently. Are you sure you want to proceed?";"删除用户将永久从您的账户中删除？您还希望继续进行嘛？"
"objective";"学习目标"
"experience";"工作/实践经历"
"education";"教育经历"
"skills";"个人能力"
"describe objective";"描述学习目标"
"add experience";"添加经历"
"add education";"添加教育经历"
"add skill";"添加能力"
"preview in pdf";"pdf预览"
"preview online";"网上预览简历"
"download pdf";"下载pdf"
"my profile";"我的档案"
"my resume";"我的简历"
"my inbox";"我的收件箱"
"accounts/payments";"账户/付款"
"restore";"还原"
"customer reviews";"客户评价"
"latest featured";"最新特色"
"my lessons";"我的课程"
"inbox";"收件箱"
"sent";"已发送"
"archived";"备份"
"trash";"垃圾箱"
"create new";"写新消息"
"move to trash";"移动到垃圾箱"
"move to archived";"移动到备份"
"create new message";"写新消息"
"to";"到"
"subject";"标题"
"text";"正文"
"scheduled";"计划课程"
"on the air";"课程中"
"lesson details";"课程详情"
"display";"显示"
"home";"首页"
"privacy policy";"隐私"
"about aimya";"关于Aimya"
"help";"帮助"
"sign out";"注销"
"User Name";"用户名"
"Date/Time";"日期/时间"
"Video REC";"录像"
"Feedback";"反馈"
"PDF Notes";"pdf笔记"
"Action";"行为"
"language";"语言"
"Search services";"查找"
"service offered";"提供的服务"
"service requested";"需要的服务"
"About me";"关于我"
"All";"所有"
"Business";"商务"
"Languages";"语言"
"Tutoring";"辅导"
"Consulting";"咨询"
"Engineering";"工程"
"add to my account";"添加到我的账号"
"view profile";"查看资料"
"Student";"学生"
"Instructor";"老师"
"Name";"姓名"
"Time zone";"时区"
"Service offered";"提供的服务"
"Service requested";"需要的服务"
"Display";"显示"
"mandatory information";"需填信息"
"Your Address, phone number(s), and date of birth will not be viewable by any user on the site. They will only be displayed in PDF format for online and printable resumes";"您的地址，电话和生日将不会被网站上的其他用户看到。这些信息只会以PDF形式显示在网站和打印的简历上。"
"request service";"服务请求"

"specify an area you need help with";"描述您需要帮助的领域"
"describe your service details";"描述您要求的服务"
"specify your area of expertise";"描述您的专长领域"
"from";"从"
"to change time zone go to General tab";"前往基本信息修改时区"
"You are currently in UTC";"你现在在UTC"
"";""

"i want to";"我要"
"change aimya password";"改密码"
"Receive Alert when I have a new friend request";"有好友通知时提醒我"
"Receive Alert when I have a new message";"有新消息时提醒我"
"Old Password";"旧密码"
"New Password";"新密码"
"Confirm New Password";"确认新密码"

"First Name";"名"
"Last Name";"姓"
"User Role";"用户角色"
"Time Zone";"时区"
"my bookings";"我的订阅"
"Session Focus";"课程重点"
"Payment Request";"付款请求"
"There are no any active lessons";"没有进行中的课程"
"Focus Name";"重点"
"Notes";"笔记"
"Date";"日期"
"Time";"时间"
"By subscribing for 8 months period, you'll get 4 additional months for free";"订购满8个月将多获赠4个月"
"Period";"时期"
"Choose Period";"选择时间"
"1 month";"1 月"
"2 months";"2 月"
"3 months";"3 月"
"4 months";"4 月"
"5 months";"5 月"
"6 months";"6 月"
"7 months";"7 月"
"8 months";"8 月"
"9 months";"9 月"
"10 months";"10 月"
"11 months";"11 月"
"12 months";"12 月"
"Subscribe";"提交"
"";""
"";""
"";""
"";""
"";""
